dt,sensor,tmp,hum,press
2016-06-24 06:00:00,sensor_4,25.6896944444,44.2456111111,101520.281861
2016-06-24 07:00:00,sensor_0,30.0211944444,45.2026111111,101511.557667
2016-06-24 07:00:00,sensor_2,28.60775,41.94725,101753.371278
2016-06-24 07:00:00,sensor_3,27.5550555556,42.749,101653.740333
2016-06-24 07:00:00,sensor_4,25.5343888889,49.0668611111,101594.718028
2016-06-24 08:00:00,sensor_0,33.3516111111,35.7004722222,101596.651167
2016-06-24 08:00:00,sensor_2,31.8004444444,32.8953333333,101838.195833
2016-06-24 08:00:00,sensor_3,28.1035277778,39.0366944444,101735.488194
2016-06-24 08:00:00,sensor_4,27.2974166667,40.9233333333,101678.928389
2016-06-24 09:00:00,sensor_0,37.9006111111,29.9105555556,101649.097889
2016-06-24 09:00:00,sensor_2,33.6921944444,31.23525,101893.406167
2016-06-24 09:00:00,sensor_3,28.6007777778,38.7728888889,101794.917139
2016-06-24 09:00:00,sensor_4,30.5363611111,35.4898333333,101735.402556
2016-06-24 10:00:00,sensor_0,38.8184722222,28.3299722222,101679.360639
2016-06-24 10:00:00,sensor_2,34.9988611111,29.7157777778,101922.45625
2016-06-24 10:00:00,sensor_3,29.6683611111,36.824,101825.437222
2016-06-24 10:00:00,sensor_4,32.6996111111,31.7518888889,101762.17275
2016-06-24 11:00:00,sensor_0,39.3452777778,26.9577777778,101707.675722
2016-06-24 11:00:00,sensor_2,35.5353888889,28.2628333333,101951.0475
2016-06-24 11:00:00,sensor_3,30.7520555556,33.2858055556,101856.775917
2016-06-24 11:00:00,sensor_4,33.2230277778,30.0443055556,101795.22
2016-06-24 12:00:00,sensor_0,39.2503888889,26.6524722222,101699.114472
2016-06-24 12:00:00,sensor_2,34.047,30.2432222222,101943.943333
2016-06-24 12:00:00,sensor_3,32.34975,30.6108888889,101846.747833
2016-06-24 12:00:00,sensor_4,36.6583055556,25.4083333333,101789.379972
2016-06-24 13:00:00,sensor_0,36.36775,29.1665,101708.781333
2016-06-24 13:00:00,sensor_2,32.2673888889,31.5538333333,101954.546556
2016-06-24 13:00:00,sensor_3,34.6079444444,25.9090833333,101859.654528
2016-06-24 13:00:00,sensor_4,34.2565833333,27.3563333333,101795.000417
2016-06-24 14:00:00,sensor_0,33.0746388889,35.5941388889,101733.350972
2016-06-24 14:00:00,sensor_2,30.3960277778,35.74275,101979.426444
2016-06-24 14:00:00,sensor_3,34.6187222222,26.6168611111,101882.111889
2016-06-24 14:00:00,sensor_4,32.3833888889,31.3113333333,101817.802611
2016-06-24 15:00:00,sensor_0,31.6554444444,42.7141111111,101771.362778
2016-06-24 15:00:00,sensor_2,29.86275,40.3309722222,102020.542028
2016-06-24 15:00:00,sensor_3,34.7119166667,29.1728333333,101920.157806
2016-06-24 15:00:00,sensor_4,29.5544166667,40.5884166667,101859.405833
2016-06-24 16:00:00,sensor_0,30.4971666667,51.1375277778,101766.00575
2016-06-24 16:00:00,sensor_2,29.2628888889,46.1701944444,102024.703222
2016-06-24 16:00:00,sensor_3,35.4384444444,31.8034444444,101918.869556
2016-06-24 16:00:00,sensor_4,30.9489722222,42.5933055556,101861.727972
2016-06-24 17:00:00,sensor_0,29.1221944444,55.4845277778,101764.843417
2016-06-24 17:00:00,sensor_2,28.8839444444,47.9909166667,102015.128472
2016-06-24 17:00:00,sensor_3,33.6099444444,35.5857777778,101913.424222
2016-06-24 17:00:00,sensor_4,29.8316388889,46.2591111111,101850.772667
2016-06-24 18:00:00,sensor_0,28.8191111111,54.8018055556,101792.208556
2016-06-24 18:00:00,sensor_2,28.6326388889,47.6130277778,102044.208056
