dt,sensor,tmp,hum,press
"2016, 1, 7",sensor_0,30.57711111,71.8825,101092.7118
"2016, 1, 7",sensor_0,30.46563889,71.15433333,101080.2217
"2016, 1, 7",sensor_0,29.604,76.01488889,101106.0127
"2016, 1, 7",sensor_0,28.63797222,74.78016667,101120.4626
"2016, 1, 7",sensor_0,26.818,71.49891667,101167.4217
"2016, 1, 7",sensor_0,24.88705556,68.06869444,101260.1206
"2016, 2, 7",sensor_0,26.21427778,63.59980556,101362.6403
"2016, 2, 7",sensor_0,30.74480556,48.96030556,101449.3316
"2016, 2, 7",sensor_0,33.44211111,42.5615,101500.9418
"2016, 2, 7",sensor_0,33.63747222,40.90591667,101501.0594
"2016, 2, 7",sensor_0,35.43961111,33.94705556,101498.5511
"2016, 2, 7",sensor_0,33.99555556,34.35883333,101508.3245
"2016, 2, 7",sensor_0,34.73544444,32.27730556,101527.6643
"2016, 2, 7",sensor_0,35.07886111,30.83311111,101538.3957
"2016, 2, 7",sensor_0,34.31377778,31.16655556,101513.3795
"2016, 2, 7",sensor_0,32.43163889,32.62444444,101509.5393
"2016, 2, 7",sensor_0,31.83330556,32.42836111,101524.4044
"2016, 2, 7",sensor_0,31.33336111,32.35811111,101548.1683
"2016, 2, 7",sensor_0,31.31775,33.57283333,101560.3314
"2016, 2, 7",sensor_0,30.91372222,36.21288889,101605.2725
"2016, 2, 7",sensor_0,30.59155556,37.94794444,101637.6845
"2016, 2, 7",sensor_0,30.12688259,39.24797571,101674.0119
"2016, 2, 7",sensor_0,27.52772487,48.22084656,101759.2883
"2016, 2, 7",sensor_0,29.47355556,43.53086111,101765.5216
"2016, 2, 7",sensor_0,29.05336111,44.45458333,101750.9831
"2016, 2, 7",sensor_0,28.86116667,45.57175,101748.0781
"2016, 2, 7",sensor_0,28.62997222,45.08047222,101746.8782
"2016, 2, 7",sensor_0,28.452,47.2465,101753.244
"2016, 2, 7",sensor_0,28.21780556,48.22766667,101782.7305
"2016, 2, 7",sensor_0,27.82566667,50.36816667,101824.9421
"2016, 3, 7",sensor_0,29.78411111,48.29669444,101858.5755
"2016, 3, 7",sensor_0,36.97091667,33.51402778,101914.5451
"2016, 3, 7",sensor_0,37.23063889,30.83002778,101938.0636
"2016, 3, 7",sensor_0,33.8185,35.42091667,101933.4178
"2016, 3, 7",sensor_0,38.54044444,29.84755556,101919.0381
"2016, 3, 7",sensor_0,38.13125,28.96977778,101903.2958
"2016, 3, 7",sensor_0,39.82241667,25.82027778,101878.0759
"2016, 3, 7",sensor_0,40.40091667,23.20555556,101843.8383
"2016, 3, 7",sensor_0,38.10825,26.72880556,101807.1703
"2016, 3, 7",sensor_0,36.17691667,28.733,101770.9163
"2016, 3, 7",sensor_0,35.80080556,30.61491667,101715.3355
"2016, 3, 7",sensor_0,34.80616667,34.20361111,101686.7537
"2016, 3, 7",sensor_0,32.39733333,43.12852778,101680.1833
"2016, 3, 7",sensor_0,30.65416667,49.60983333,101706.8308
"2016, 3, 7",sensor_0,30.39669444,51.56616667,101720.0473
"2016, 3, 7",sensor_0,30.45938889,51.99805556,101730.824
"2016, 3, 7",sensor_0,29.84072222,54.20472222,101758.9885
"2016, 3, 7",sensor_0,29.47675,54.83263889,101777.1189
"2016, 3, 7",sensor_0,30.02319444,53.62147222,101804.8324
"2016, 3, 7",sensor_0,29.64741667,54.88638889,101791.8875
"2016, 3, 7",sensor_0,29.28936111,56.07675,101774.8334
"2016, 3, 7",sensor_0,28.34136111,58.11444444,101752.5447
"2016, 3, 7",sensor_0,27.98252778,59.6585,101754.7271
"2016, 3, 7",sensor_0,27.86805556,60.33633333,101772.4088
"2016, 4, 7",sensor_0,29.97747222,55.34483333,101819.196
"2016, 4, 7",sensor_0,38.78952778,36.88916667,101857.7715
"2016, 4, 7",sensor_0,42.32402778,31.90644444,101863.672
"2016, 4, 7",sensor_0,45.23075,27.78036111,101856.6146
"2016, 4, 7",sensor_0,48.32102778,24.46766667,101841.9928
"2016, 4, 7",sensor_0,48.52655556,22.55111111,101807.9478
"2016, 4, 7",sensor_0,42.09680556,25.55411111,101759.2072
"2016, 4, 7",sensor_0,40.41941667,29.78230556,101692.8773
"2016, 4, 7",sensor_0,38.71358333,31.63469444,101634.6991
